id,aq_sum,aq_social,aq_attent_sw,aq_attent_det,aq_comm,aq_imag
c8cu3c3m,18,5,5,4,3,1
98n9czmc,17,1,10,5,1,0
ahrykldn,11,0,4,2,2,3
o0rf6ttx,21,2,8,3,3,5
q2og7bcw,16,4,5,3,3,1
o06rjn6t,24,7,5,4,5,3
gr5cbrwq,22,4,6,6,2,4
zy448n7y,26,6,8,5,5,2
fnqg33tk,13,1,4,7,1,0
xivwne6i,20,2,6,9,1,2
s6ye1o1i,15,0,6,7,2,0
ixcvnna8,10,0,4,3,1,2
a9n5v3d1,19,1,6,7,2,3
g23mmrfq,23,5,7,3,4,4
d3omyepd,28,5,9,2,5,7
3942ithx,19,2,5,8,1,3
vduxnyfy,12,0,7,4,1,0
8c7wt90x,24,4,6,6,5,3
ga9uahma,29,7,7,6,5,4
knznxrg2,25,5,7,6,4,3
i7buva8v,18,3,4,5,5,1
mee14g6o,16,0,6,7,2,1
6u66hyka,19,2,3,6,4,4
x9nkv09r,18,1,6,9,2,0
u958vef7,37,8,8,10,8,3
tcvcarp3,18,1,5,9,2,1
dq82faf2,22,5,6,4,4,3
4c4vv6fg,8,0,3,5,0,0
avz00bwo,26,8,3,5,5,5
za9gkd6c,11,1,4,5,1,0
b4saauq7,17,3,5,5,3,1
29ehzpe0,25,5,7,5,3,5
ov6zilsh,30,5,6,6,8,5
foy52cb4,16,0,5,7,1,3
e9v1bzuc,8,1,2,5,0,0
jqnx9r4v,25,5,6,4,4,6
cjz75i22,17,0,7,4,3,3
o0s5d3oa,9,2,3,2,0,2
zgi28emw,14,0,4,5,1,4
y4t0c0hk,14,1,5,6,0,2
acyrm6vi,13,1,6,6,0,0
ftd9rnvm,16,0,6,6,2,2
2zbxslpn,14,0,7,5,0,2
tvfnqw23,19,3,8,3,3,2
jgin3192,27,6,5,4,5,7
t0xx7x9i,27,7,7,4,7,2
eegst1da,13,0,5,8,0,0
1ki6ebat,26,3,9,8,4,2
hifa1lt0,16,1,4,6,3,2
pc4rm08d,25,4,7,5,5,4
4oenuj4z,20,3,6,6,3,2
t4wh6a8a,14,3,7,2,0,2
7e2tmpa6,24,5,6,2,4,7
zn7thjg0,17,0,7,4,2,4
vxh4ur6x,19,1,8,7,1,2
r9pl56hp,13,0,6,2,1,4
z45d64cv,16,2,7,6,0,1
teq2jd9p,9,0,3,5,1,0
4pa1qjuw,14,1,7,4,2,0
he7sr8mk,13,0,6,4,2,1
ou69io2m,18,1,7,6,2,2
29zpbmmy,22,4,6,5,2,5
n5zkdivb,19,3,4,5,4,3
hegg4ro3,31,7,9,8,5,2
77bfjf3x,13,2,7,1,1,2
hgkrglvb,20,2,4,6,2,6
7jq058u6,21,3,9,6,2,1
y0w9ndc3,29,5,8,6,6,4
h0asw03a,21,4,8,6,2,1
cw1o9bs1,25,7,6,4,4,4
x0xukvie,21,8,4,5,4,0
f6k7yhh9,12,0,3,4,1,4
38k6v81o,11,1,4,4,2,0
k1haxar6,24,5,9,6,3,1
o7t1h1uu,20,1,5,7,3,4
merxonq0,15,1,5,7,1,1
z7bic0rf,20,0,6,7,3,4
bxz1h47q,23,3,8,3,2,7
23rjqvom,16,2,3,6,3,2
yc475tvl,14,1,7,0,4,2
ut85pm0q,27,4,4,8,4,7
5l6mnknj,16,1,6,7,0,2
hdpd91sm,22,3,8,9,2,0
9eybg7ux,15,0,8,4,1,2
yrwfvsft,13,1,5,5,1,1
5g9je77m,14,2,4,5,3,0
uzghar5a,14,0,6,5,1,2
qqwe9imb,18,0,5,10,2,1
zxd44db3,22,5,7,6,4,0
haqli8xf,28,5,7,6,7,3
4lce564k,22,3,8,5,4,2
w0u5nqql,27,5,10,3,4,5
7cwp4v6n,11,2,7,1,0,1
81bqimnf,21,3,7,5,4,2
dnsmzbhb,23,3,5,4,8,3
g59wh51e,15,0,2,9,2,2
przvqjfv,19,0,5,6,2,6
ov0ykrcj,17,5,6,3,3,0
v6fn4eru,19,4,4,6,1,4
8cav5z8q,25,4,5,6,6,4
diqhmi3m,26,6,8,7,3,2
5kxqaqov,17,2,5,6,1,3
zmlkdgl5,15,2,3,8,0,2
934tcrxh,22,5,6,5,4,2
5un6y0nb,25,4,7,5,6,3
twjbvnlp,17,1,5,8,1,2
nj1xo326,28,5,7,5,7,4
td18pjfx,13,0,5,4,1,3
xroufr90,12,0,7,4,0,1
llsj1iws,9,0,3,5,1,0
zc2uy687,15,4,4,3,4,0
ds5uz2d5,17,0,3,7,1,6
megc4lwa,18,2,7,6,0,3
weakyj8i,14,1,5,4,4,0
4j2ynmmd,17,1,7,6,0,3
hz8tf3vd,10,1,4,2,1,2
orpo5v41,14,1,7,4,2,0
i0g6t95m,23,3,6,5,5,4
tlv2ma31,13,0,6,4,0,3
p82edp2y,31,7,8,6,4,6
dy5x0rhr,10,0,3,6,1,0
