id,bin,triplet_type,mean_acc
02012588,1,H,0.9039301310043667
02012588,1,L,0.8706896551724138
02012588,2,H,0.885593220338983
02012588,2,L,0.8333333333333333
02012588,3,H,0.9259259259259259
02012588,3,L,0.8365384615384615
02012588,4,H,0.8649789029535866
02012588,4,L,0.7422680412371134
02012588,5,H,0.8531746031746033
02012588,5,L,0.8854166666666667
02012588,6,H,0.9156626506024097
02012588,6,L,0.8555555555555555
02hhn3yb,1,H,0.8410041841004182
02hhn3yb,1,L,0.816326530612245
02hhn3yb,2,H,0.9071729957805907
02hhn3yb,2,L,0.8541666666666667
02hhn3yb,3,H,0.8902439024390243
02hhn3yb,3,L,0.8505747126436781
02hhn3yb,4,H,0.9102040816326532
02hhn3yb,4,L,0.8529411764705882
02hhn3yb,5,H,0.8326180257510731
02hhn3yb,5,L,0.8303571428571428
02hhn3yb,6,H,0.8968253968253966
02hhn3yb,6,L,0.8723404255319149
09u7vlj7,1,H,0.9385964912280702
09u7vlj7,1,L,0.9181818181818182
09u7vlj7,2,H,0.928
09u7vlj7,2,L,0.8977272727272727
09u7vlj7,3,H,0.9385245901639344
09u7vlj7,3,L,0.9509803921568627
09u7vlj7,4,H,0.9785407725321889
09u7vlj7,4,L,0.9215686274509804
09u7vlj7,5,H,0.9621848739495799
09u7vlj7,5,L,0.9801980198019802
09u7vlj7,6,H,0.9423868312757202
09u7vlj7,6,L,0.9473684210526316
0jutvml5,1,H,0.8884297520661157
0jutvml5,1,L,0.9032258064516129
0jutvml5,2,H,0.9090909090909091
0jutvml5,2,L,0.8279569892473118
0jutvml5,3,H,0.8793103448275862
0jutvml5,3,L,0.838095238095238
0jutvml5,4,H,0.9149797570850202
0jutvml5,4,L,0.9368421052631579
0jutvml5,5,H,0.8945147679324895
0jutvml5,5,L,0.9117647058823529
0jutvml5,6,H,0.9282868525896414
0jutvml5,6,L,0.7934782608695652
0ldaeete,1,H,0.7958333333333334
0ldaeete,1,L,0.7307692307692307
0ldaeete,2,H,0.8554216867469879
0ldaeete,2,L,0.845360824742268
0ldaeete,3,H,0.8471074380165289
0ldaeete,3,L,0.8404255319148937
0ldaeete,4,H,0.9076305220883532
0ldaeete,4,L,0.8823529411764706
0ldaeete,5,H,0.9397590361445782
0ldaeete,5,L,0.9069767441860466
0ldaeete,6,H,0.9523809523809523
0ldaeete,6,L,0.8928571428571429
0qlz7yxg,1,H,0.9166666666666667
0qlz7yxg,1,L,0.9142857142857143
0qlz7yxg,2,H,0.8471074380165289
0qlz7yxg,2,L,0.8723404255319149
0qlz7yxg,3,H,0.8734693877551021
0qlz7yxg,3,L,0.8888888888888888
0qlz7yxg,4,H,0.9375
0qlz7yxg,4,L,0.9134615384615384
0qlz7yxg,5,H,0.9307692307692306
0qlz7yxg,5,L,0.8488372093023255
0qlz7yxg,6,H,0.9603174603174602
0qlz7yxg,6,L,0.925531914893617
0v04fxma,1,H,0.9551020408163265
0v04fxma,1,L,0.9555555555555555
0v04fxma,2,H,0.9583333333333333
0v04fxma,2,L,0.912621359223301
0v04fxma,3,H,0.9253112033195021
0v04fxma,3,L,0.8645833333333333
0v04fxma,4,H,0.9300411522633745
0v04fxma,4,L,0.9456521739130435
0v04fxma,5,H,0.9125
0v04fxma,5,L,0.81
0v04fxma,6,H,0.9327731092436975
0v04fxma,6,L,0.8482142857142857
10gr6k2l,1,H,0.8852459016393442
10gr6k2l,1,L,0.8878504672897196
10gr6k2l,2,H,0.925
10gr6k2l,2,L,0.900990099009901
10gr6k2l,3,H,0.9211618257261411
10gr6k2l,3,L,0.9009900990099011
10gr6k2l,4,H,0.9148936170212767
10gr6k2l,4,L,0.8736842105263158
10gr6k2l,5,H,0.8980392156862745
10gr6k2l,5,L,0.8791208791208791
10gr6k2l,6,H,0.9153225806451613
10gr6k2l,6,L,0.8854166666666667
11qq9hxf,1,H,0.944
11qq9hxf,1,L,0.8333333333333334
11qq9hxf,2,H,0.9208333333333333
11qq9hxf,2,L,0.9166666666666666
11qq9hxf,3,H,0.8765432098765432
11qq9hxf,3,L,0.8842105263157894
11qq9hxf,4,H,0.8697478991596639
11qq9hxf,4,L,0.8095238095238096
11qq9hxf,5,H,0.8493723849372385
11qq9hxf,5,L,0.8877551020408164
11qq9hxf,6,H,0.8196721311475408
11qq9hxf,6,L,0.7708333333333334
14g6hv8k,1,H,0.9071729957805909
14g6hv8k,1,L,0.8585858585858586
14g6hv8k,2,H,0.9322709163346613
14g6hv8k,2,L,0.9591836734693877
14g6hv8k,3,H,0.9133858267716535
14g6hv8k,3,L,0.8913043478260869
14g6hv8k,4,H,0.9462809917355373
14g6hv8k,4,L,0.8888888888888888
14g6hv8k,5,H,0.902127659574468
14g6hv8k,5,L,0.8817204301075269
14g6hv8k,6,H,0.8975409836065574
14g6hv8k,6,L,0.8476190476190476
16j46xy8,1,H,0.9554655870445344
16j46xy8,1,L,1
16j46xy8,2,H,0.9079497907949791
16j46xy8,2,L,0.9473684210526316
