id,H_1,L_1,H_2,L_2,H_3,L_3,H_4,L_4,H_5,L_5,H_6,L_6,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
02012588,383.2000000178814,389.800000011921,384.2999999821186,415.59999999403954,370.5,369.39999997615814,352.30000001192093,359.80000001192093,369.90000000596046,386.199999988079,359.15000000596046,372.699999988079,6.599999994039592,31.30000001192093,-1.100000023841858,7.5,16.29999998211855,13.54999998211855
02hhn3yb,379.7999999523163,380.14999997615814,357.60000002384186,402.7999999523163,355.5,385.9000000357628,352.2999999523163,395.8000000715256,382.39999997615814,376.39999997615814,358.7999999523163,385.94999998807907,0.3500000238418579,45.199999928474426,30.400000035762787,43.50000011920929,-6,27.150000035762787
09u7vlj7,334.2000000476837,344.09999990463257,340.5,349,333.7000000476837,336.10000002384186,308.9500000476837,315.64999997615814,328.7000000476837,325.2999999523163,316.89999997615814,329.89999997615814,9.899999856948853,8.5,2.399999976158142,6.699999928474426,-3.4000000953674316,13
0jutvml5,353.7000000476837,354.0500000715256,345.14999997615814,347.59999990463257,337.60000014305115,340.0499999523163,305.7499998807907,307.89999985694885,321.14999997615814,331,309.90000009536743,328.39999985694885,0.3500000238418579,2.4499999284744263,2.4499998092651367,2.149999976158142,9.850000023841858,18.49999976158142
0ldaeete,368,348.5,356,360.5,362,362,368.5,374,371,367,412,420,-19.5,4.5,0,5.5,-4,8
0qlz7yxg,390,394,377,387,373.5,395.5,337,342,353,371,345.5,367,4,10,22,5,18,21.5
0v04fxma,459.8500000014901,461.09999999403954,421.79999999701977,425.55000000447035,363.1000000089407,367.5,345.1499999985099,348,352.5,354.5,362.30000000447035,368.800000011921,1.2499999925494194,3.7500000074505806,4.399999991059303,2.850000001490116,2,6.500000007450637
10gr6k2l,365.09999990463257,367.59999990463257,374.4500000476837,360.59999990463257,371.35000002384186,375.90000009536743,337,343.7999999523163,356.7999999523163,348.84999990463257,365.10000014305115,361.7000000476837,2.5,-13.850000143051147,4.550000071525574,6.799999952316284,-7.950000047683716,-3.4000000953674316
11qq9hxf,411.9999998807907,408.59999990463257,419.60000014305115,428.5499999523163,381.5,395.75,337.2999999523163,357.59999990463257,366.2999999523163,363.39999985694885,368.5500000715256,379,-3.399999976158142,8.949999809265137,14.25,20.299999952316284,-2.9000000953674316,10.449999928474426
14g6hv8k,473.19999999995343,503.19999999995343,462.20000000006985,442.19999999995343,423.1500000000233,438.6500000000233,399.8999999994412,388.25,410.0500000002794,445.39999999990687,391.29999999981374,386.29999999981374,30,-20.000000000116415,15.5,-11.649999999441206,35.34999999962747,-5
