id,bin,triplet_type,median_rt
02012588,1,H,383.2000000178814
02012588,1,L,389.800000011921
02012588,2,H,384.2999999821186
02012588,2,L,415.59999999403954
02012588,3,H,370.5
02012588,3,L,369.39999997615814
02012588,4,H,352.30000001192093
02012588,4,L,359.80000001192093
02012588,5,H,369.90000000596046
02012588,5,L,386.199999988079
02012588,6,H,359.15000000596046
02012588,6,L,372.699999988079
02hhn3yb,1,H,379.7999999523163
02hhn3yb,1,L,380.14999997615814
02hhn3yb,2,H,357.60000002384186
02hhn3yb,2,L,402.7999999523163
02hhn3yb,3,H,355.5
02hhn3yb,3,L,385.9000000357628
02hhn3yb,4,H,352.2999999523163
02hhn3yb,4,L,395.8000000715256
02hhn3yb,5,H,382.39999997615814
02hhn3yb,5,L,376.39999997615814
02hhn3yb,6,H,358.7999999523163
02hhn3yb,6,L,385.94999998807907
09u7vlj7,1,H,334.2000000476837
09u7vlj7,1,L,344.09999990463257
09u7vlj7,2,H,340.5
09u7vlj7,2,L,349
09u7vlj7,3,H,333.7000000476837
09u7vlj7,3,L,336.10000002384186
09u7vlj7,4,H,308.9500000476837
09u7vlj7,4,L,315.64999997615814
09u7vlj7,5,H,328.7000000476837
09u7vlj7,5,L,325.2999999523163
09u7vlj7,6,H,316.89999997615814
09u7vlj7,6,L,329.89999997615814
0jutvml5,1,H,353.7000000476837
0jutvml5,1,L,354.0500000715256
0jutvml5,2,H,345.14999997615814
0jutvml5,2,L,347.59999990463257
0jutvml5,3,H,337.60000014305115
0jutvml5,3,L,340.0499999523163
0jutvml5,4,H,305.7499998807907
0jutvml5,4,L,307.89999985694885
0jutvml5,5,H,321.14999997615814
0jutvml5,5,L,331
0jutvml5,6,H,309.90000009536743
0jutvml5,6,L,328.39999985694885
0ldaeete,1,H,368
0ldaeete,1,L,348.5
0ldaeete,2,H,356
0ldaeete,2,L,360.5
0ldaeete,3,H,362
0ldaeete,3,L,362
0ldaeete,4,H,368.5
0ldaeete,4,L,374
0ldaeete,5,H,371
0ldaeete,5,L,367
0ldaeete,6,H,412
0ldaeete,6,L,420
0qlz7yxg,1,H,390
0qlz7yxg,1,L,394
0qlz7yxg,2,H,377
0qlz7yxg,2,L,387
0qlz7yxg,3,H,373.5
0qlz7yxg,3,L,395.5
0qlz7yxg,4,H,337
0qlz7yxg,4,L,342
0qlz7yxg,5,H,353
0qlz7yxg,5,L,371
0qlz7yxg,6,H,345.5
0qlz7yxg,6,L,367
0v04fxma,1,H,459.8500000014901
0v04fxma,1,L,461.09999999403954
0v04fxma,2,H,421.79999999701977
0v04fxma,2,L,425.55000000447035
0v04fxma,3,H,363.1000000089407
0v04fxma,3,L,367.5
0v04fxma,4,H,345.1499999985099
0v04fxma,4,L,348
0v04fxma,5,H,352.5
0v04fxma,5,L,354.5
0v04fxma,6,H,362.30000000447035
0v04fxma,6,L,368.800000011921
10gr6k2l,1,H,365.09999990463257
10gr6k2l,1,L,367.59999990463257
10gr6k2l,2,H,374.4500000476837
10gr6k2l,2,L,360.59999990463257
10gr6k2l,3,H,371.35000002384186
10gr6k2l,3,L,375.90000009536743
10gr6k2l,4,H,337
10gr6k2l,4,L,343.7999999523163
